,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Plastic Bags,Homes Powered*,,,,
1,June,2018,6/30/2018,0.96,10,1150,940,8200,1420,16.00,,,,
,June Total,,,0.96,10,1150,940,8200,1420,16.00,,,,
2,July,2018,7/19/2018,1.47,10,2320,1380,7400,1810,24.50,,,,
3,July,2018,7/23/2018,3.19,10,3450,1160,9600,2220,53.17,,,,
,July Total,,,4.66,20,5770,2540,17000,4030,77.67,,,,
4,August,2018,8/8/2018,1.11,10,1490,840,5100,1130,18.50,,,,
,August Total,,,1.11,10,1490,840,5100,1130,18.50,,,,
5,October,2018,10/15/2018,1.44,10,920,940,6400,2100,24.00,,,,
,October Total,,,1.44,10,920,940,6400,2100,24.00,,,,
6,December,2018,12/14/2018,0.66,8,1010,650,3500,920,11.00,,,,
,December Total,,,0.66,8,1010,650,3500,920,11.00,,,,
7,March,2019,3/7/2019,0.98,8,680,940,2100,1200,16.33,,,,
,March Total,,,0.98,8,680,940,2100,1200,16.33,,,,
8,April,2019,4/24/2019,1.8,10,1800,750,4200,1650,30.00,,,,
,April Total,,,1.8,10,1800,750,4200,1650,30.00,,,,
9,May,2019,5/31/2019,2.17,10,2700,1050,4700,1900,36.17,,,,
,May Total,,,2.17,10,2700,1050,4700,1900,36.17,,,,
10,August,2019,8/8/2019,1.21,9,950,680,2800,1450,20.17,,,,
,August Total,,,1.21,9,950,680,2800,1450,20.17,,,,
11,November,2019,11/4/2019,1.23,10,103,3100,1800,4200,20.50,,,,
,November Total,,,1.23,10,103,3100,1800,4200,20.50,,,,
12,January,2020,1/30/2020,0.82,8,1850,950,3300,1480,13.67,,,,
,January Total,,,0.82,8,1850,950,3300,1480,13.67,,,,
13,April,2020,4/23/2020,0.84,10,1200,1100,2100,2050,14.00,,,,
,April Total,,,0.84,10,1200,1100,2100,2050,14.00,,,,
14,June,2020,6/12/2020,1.18,10,1050,750,1800,1500,19.67,,,,
,June Total,,,1.18,10,1050,750,1800,1500,19.67,,,,
15,August,,8/3/2020,0.68,8,1860,940,3100,1040,11.33,,,,
16,August,,8/18/2020,1.08,10,1180,780,4800,2020,18,,,,
,August Total,,,1.76,18,3040,1720,7900,3060,38.33,,,,
17,November,,11/13/2020,1.19,10,1050,580,3700,1100,19.83333333,,,,
,November Total,,,1.19,10,1050,580,3700,1100,19.83333333,,,,
18,January,2021,1/4/2021,1.2,10,1420,840,4200,1400,20,,,,
,January Total,,,1.2,10,1420,840,4200,1400,20,,,,
,Grand Total ,,,23.21,171,26183,18370,78800,30590,425.1666667,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
